id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-686299,2020-07-17,000001,Vente,11000,37,B,AV VLADIMIR KOMAROV,1678,69200,69259,Vénissieux,69,,,69259000CM0021,,,417,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.875848,45.690817
2020-686300,2020-07-28,000001,Vente,500000,13,,RUE MAL JOFFRE,0798,69330,69282,Meyzieu,69,,,69282000BY0263,,,,,,,,,,,,,0,1,Maison,148,8,S,sols,,,661,5.008574,45.769569
2020-686300,2020-07-28,000001,Vente,500000,,,LES MAISONS ROUGES,B047,69330,69282,Meyzieu,69,,,69282000BY0370,,,,,,,,,,,,,0,,,,,S,sols,,,27199,5.007921,45.769402
2020-686300,2020-07-28,000001,Vente,500000,,,RUE MARECHAL JUIN,0800,69330,69282,Meyzieu,69,,,69282000BY0371,,,,,,,,,,,,,0,,,,,S,sols,,,2,5.008837,45.770401
2020-686301,2020-07-23,000001,Vente,247000,17,,ALL DU GROUBON,0087,69780,69298,Toussieu,69,,,69298000AO0093,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.973527,45.653528
2020-686301,2020-07-23,000001,Vente,247000,17,,ALL DU GROUBON,0087,69780,69298,Toussieu,69,,,69298000AO0093,,,5,67.34,,,,,,,,,1,2,Appartement,66,3,,,,,,4.973527,45.653528
2020-686301,2020-07-23,000001,Vente,247000,17,,ALL DU GROUBON,0087,69780,69298,Toussieu,69,,,69298000AO0093,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.973527,45.653528
2020-686302,2020-07-15,000001,Vente,517200,13,,RUE ROBESPIERRE,1310,69800,69290,Saint-Priest,69,,,69290000CH0459,,,,,,,,,,,,,0,1,Maison,204,5,S,sols,,,663,4.946622,45.704486
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,69,3,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,69,3,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,62,3,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,1,Maison,48,2,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,69,3,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,292,4.856778,45.707515
2020-686303,2020-07-28,000001,Vente,680000,16,,RUE MARCELLIN BERTHELOT,0580,69190,69199,Saint-Fons,69,,,69199000AE0332,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,292,4.856778,45.707515
2020-686304,2020-07-22,000001,Vente,160000,34,,RUE VICTOR HUGO,0600,69780,69283,Mions,69,,,69283000BD0486,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.949065,45.658411
2020-686304,2020-07-22,000001,Vente,160000,34,,RUE VICTOR HUGO,0600,69780,69283,Mions,69,,,69283000BD0486,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.949065,45.658411
2020-686304,2020-07-22,000001,Vente,160000,34,,RUE VICTOR HUGO,0600,69780,69283,Mions,69,,,69283000BD0486,,,5,58.8,,,,,,,,,1,2,Appartement,80,4,,,,,,4.949065,45.658411
2020-686305,2020-08-05,000001,Vente en l'état futur d'achèvement,232000,72,,GRANDE RUE,0670,69800,69290,Saint-Priest,69,,,69290000CX0494,,,171,,,,,,,,,,1,,,,,,,,,,4.943114,45.703722
2020-686305,2020-08-05,000001,Vente en l'état futur d'achèvement,232000,72,,GRANDE RUE,0670,69800,69290,Saint-Priest,69,,,69290000CX0494,,,60,,,,,,,,,,1,,,,,,,,,,4.943114,45.703722
2020-686306,2020-07-31,000001,Vente,130000,28,,RUE LEON FABRE,2370,69100,69266,Villeurbanne,69,,,69266000BB0306,,,59,,,,,,,,,,1,2,Appartement,35,1,,,,,,4.875396,45.777954
2020-686307,2020-07-28,000001,Vente,300000,4,,RUE MARCEL DORET,2660,69100,69266,Villeurbanne,69,,,69266000CA0055,,,,,,,,,,,,,0,1,Maison,61,4,S,sols,,,480,4.912052,45.754701
2020-686308,2020-08-05,000001,Vente,225000,50,,RUE DU PREMIER MARS 1943,3360,69100,69266,Villeurbanne,69,,,69266000BS0002,,,201,,211,,,,,,,,2,2,Appartement,57,3,,,,,,4.888705,45.767002
2020-686309,2020-07-27,000001,Vente,275000,10,,RUE OCTAVIE,2960,69100,69266,Villeurbanne,69,,,69266000BA0041,,,,,,,,,,,,,0,1,Maison,67,3,S,sols,,,433,4.887383,45.781193
2020-686310,2020-08-18,000001,Vente,180500,5,,RUE GEORGES SEGUIN,0488,69120,69256,Vaulx-en-Velin,69,,,69256000AT0762,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.920091,45.781543
2020-686310,2020-08-18,000001,Vente,180500,5,,RUE GEORGES SEGUIN,0488,69120,69256,Vaulx-en-Velin,69,,,69256000AT0762,,,37,67.82,,,,,,,,,1,2,Appartement,67,3,,,,,,4.920091,45.781543
2020-686310,2020-08-18,000001,Vente,180500,5,,RUE GEORGES SEGUIN,0488,69120,69256,Vaulx-en-Velin,69,,,69256000AT0762,,,22,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.920091,45.781543
2020-686311,2020-07-28,000001,Vente en l'état futur d'achèvement,320000,15,,RUE EDOUARD AYNARD,1365,69100,69266,Villeurbanne,69,,,69266000CO0103,,,278,,,,,,,,,,1,,,,,,,,,,4.876854,45.760688
2020-686311,2020-07-28,000001,Vente en l'état futur d'achèvement,320000,15,,RUE EDOUARD AYNARD,1365,69100,69266,Villeurbanne,69,,,69266000CO0103,,,87,,,,,,,,,,1,,,,,,,,,,4.876854,45.760688
2020-686312,2020-07-27,000001,Vente,745350,12,,RUE DES IRIS,0910,69500,69029,Bron,69,,,690290000D0736,,,,,,,,,,,,,0,1,Maison,155,5,S,sols,,,500,4.897341,45.736181
2020-686313,2020-07-31,000001,Vente,4500,2,,AV LOUISE MICHEL,0723,69150,69275,Décines-Charpieu,69,,,69275000CN0492,,,168,,,,,,,,,,1,2,Appartement,81,4,,,,,,4.961609,45.763699
2020-686314,2020-07-31,000001,Vente en l'état futur d'achèvement,351000,,,COMBABILLON,B015,69150,69275,Décines-Charpieu,69,,,69275000AW0965,,,466,,,,,,,,,,1,,,,,,,,,,4.95347,45.771569
2020-686314,2020-07-31,000001,Vente en l'état futur d'achèvement,351000,,,COMBABILLON,B015,69150,69275,Décines-Charpieu,69,,,69275000AW0965,,,310,,,,,,,,,,1,,,,,,,,,,4.95347,45.771569
2020-686314,2020-07-31,000001,Vente en l'état futur d'achèvement,351000,,,COMBABILLON,B015,69150,69275,Décines-Charpieu,69,,,69275000AW0965,,,424,,,,,,,,,,1,,,,,,,,,,4.95347,45.771569
2020-686315,2020-08-06,000001,Vente,131100,15,,ALL DES PLATANES,1405,69500,69029,Bron,69,,,690290000D0440,,,136,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.889839,45.727631
2020-686315,2020-08-06,000001,Vente,131100,15,,ALL DES PLATANES,1405,69500,69029,Bron,69,,,690290000D0440,,,56,,76,57.51,,,,,,,2,2,Appartement,57,2,,,,,,4.889839,45.727631
2020-686316,2020-07-24,000001,Vente,398200,21,,RUE OCTAVE MIRBEAU,0920,69150,69275,Décines-Charpieu,69,,,69275000AW0151,,,,,,,,,,,,,0,1,Maison,104,4,S,sols,,,604,4.950313,45.772304
2020-686317,2020-07-24,000001,Vente,525000,40,T,RUE JOSEPH DESBOIS,0633,69330,69282,Meyzieu,69,,,69282000BX0167,,,,,,,,,,,,,0,1,Maison,131,5,S,sols,,,509,5.004899,45.772734
2020-686318,2020-07-31,000001,Vente,90000,53,,RUE GEORGES COURTELINE,1840,69100,69266,Villeurbanne,69,,,69266000AI0281,,,30,27.11,,,,,,,,,1,2,Appartement,25,1,,,,,,4.880096,45.779761
2020-686319,2020-07-29,000001,Vente,15000,2,,RUE DU MOULIN A VENT,1190,69200,69259,Vénissieux,69,,,69259000AA0001,,,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.854515,45.729643
2020-686320,2020-07-29,000001,Vente,129000,14,,RUE DU BOULEVARD,0600,69100,69266,Villeurbanne,69,,,69266000BH0003,,,426,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.867809,45.777881
2020-686321,2020-07-29,000001,Vente en l'état futur d'achèvement,284000,62,,RUE FREDERIC FAYS,1730,69100,69266,Villeurbanne,69,,,69266000BV0056,,,79,,,,,,,,,,1,,,,,,,,,,4.905279,45.760957
2020-686321,2020-07-29,000001,Vente en l'état futur d'achèvement,284000,62,,RUE FREDERIC FAYS,1730,69100,69266,Villeurbanne,69,,,69266000BV0056,,,3,,,,,,,,,,1,,,,,,,,,,4.905279,45.760957
2020-686322,2020-07-29,000001,Vente en l'état futur d'achèvement,315000,62,,RUE FREDERIC FAYS,1730,69100,69266,Villeurbanne,69,,,69266000BV0056,,,6,,,,,,,,,,1,,,,,,,,,,4.905279,45.760957
2020-686322,2020-07-29,000001,Vente en l'état futur d'achèvement,315000,62,,RUE FREDERIC FAYS,1730,69100,69266,Villeurbanne,69,,,69266000BV0056,,,64,,,,,,,,,,1,,,,,,,,,,4.905279,45.760957
2020-686323,2020-07-30,000001,Vente,323600,49,,RUE DES PEUPLIERS,0847,69960,69273,Corbas,69,,,69273000BV0410,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,224,4.891184,45.663588
2020-686324,2020-07-24,000001,Vente,193000,2,,RUE DU VALLON,0331,69330,69285,Pusignan,69,,,69285000AB0495,,,17,74.48,,,,,,,,,1,2,Appartement,101,3,,,,,,5.06218,45.75923
